Gender,Height,Weight,Foot Length,Hand Span,Shoulder Width,Waist Circumference,Hip Circumference,Thigh Circumference
0,167.14424483053668,49.85598180400451,20.244420800755243,17.259194306063016,,74.23628719200673,90.78185842179806,55.70096776605415
1,164.85936456741265,80.40764407278967,20.842458023668268,17.623027724162505,43.65622719313995,76.41970889145682,95.49828602861555,59.342786555651394
0,162.23562696016816,61.78736133493127,21.541240913664755,16.00116921824135,37.817122434439845,74.39761931700006,95.44981158208452,53.65119857488671
0,152.22565302215358,65.90975357103018,24.590862017645968,15.630276304776993,,70.95316193363574,94.7116329511881,50.4898243256432
0,154.66699068555752,47.423652102930475,,,39.69202602033699,72.2092697275369,100.3248556983987,51.9021546994208
1,184.62859721462613,76.46839632227484,30.04593694595844,,42.558688640726665,93.21902388736925,,63.68657432454755
0,152.18239202928953,47.19974936404826,20.551064397537964,,37.66749733759276,79.40920590146806,92.60646309833942,54.03735790017287
0,175.95298365876474,74.22956208980118,27.591143189930452,16.737895382226345,,75.64748072656724,,57.81762689333402
0,,61.56740415440851,22.94148121221895,13.909115846915576,36.71547666419285,71.89225627204387,,53.0777534378593
1,175.05234186715796,76.47929597399667,27.56790311606956,20.461566957045925,,91.62236411586508,109.76113168858063,
0,,57.208456643221226,24.58872580209541,13.931614568410025,,72.83350880286562,89.42956325862845,57.23171630494924
0,149.22305773010893,50.88093217714168,26.32439496027938,18.647129887730074,43.06038584908452,67.69729893791167,91.53177715520614,
0,173.59637023874313,69.33161433917088,27.888411435471212,17.736300212136058,39.73546134892834,82.38661832646378,95.11826324739236,54.217561314316434
0,167.4526855589303,55.30677996180893,,18.048048887412804,41.14805063937323,71.96497176804036,89.0014529400831,56.15994800419275
1,176.74421698069844,,24.24869685847778,19.489030531549087,47.8459009614759,87.47226176767538,112.3256263041015,62.91801064659617
0,162.83407462453786,64.51333072764974,26.159932147658978,17.726472985120825,42.950850396270006,,97.04698333880594,
1,182.1370359858563,76.27395611603038,26.369483544979904,20.7503584602613,46.91497923291095,,98.58996785102967,64.12079269387733
1,181.64037594341096,82.0641644064762,25.269559609954726,17.650223171134602,44.67073438467674,90.5094378630755,95.4565187173606,59.93913146652374
1,164.29907163415805,79.63598007682671,25.553007087752395,18.651493775716382,45.761195060365544,88.8156130077571,,63.67433021380073
0,153.08690883484547,53.4288581439436,21.360907780032676,18.05101403127778,,74.59672958303382,92.2916599794974,60.50176394353319
1,170.03888226912494,74.624515387649,27.956272041083064,19.10597239410507,44.58987619743428,,98.79187102588814,57.9439307229497
0,157.7755499857741,61.33454902426817,25.14863537047637,18.244134883296073,38.24766241050412,74.95187171817211,92.98951290719515,54.75473016593969
1,168.42157659681817,,23.064269711911187,15.60141064134689,41.45264464230296,,101.24931957972282,64.19949971139005
1,181.02107803920563,72.2939787255279,31.496151352888766,17.092013332882104,40.14601856068139,83.03093476933476,96.71344365957165,58.92636081174361
1,189.71334692140286,,27.145137317851667,23.40935380560225,51.058845996503,86.70636504134362,100.63727118807162,60.01494112879328
1,175.08294562452315,79.13722343151655,30.04010443513375,,46.89114108899512,90.7200731186411,103.9578258837227,62.237315167358574
1,165.57519446811725,75.68894350704885,25.288658796283375,17.87982460976211,44.735207112996854,86.16034926638848,95.72750030452691,
1,,,,15.930952702774697,,77.73460675852156,99.52615982449305,60.00310917318792
1,169.7321998096835,73.71015181008026,31.549090638375468,21.476934777263384,,83.45496193388851,95.81082915147952,60.65900682902151
1,171.84697532716118,78.07235025414393,28.347954370123055,20.82833866916209,47.5168715523387,79.81477342810663,,54.764878714971545
0,168.96735090209353,64.77594002645439,19.263246910499838,17.790191100818,42.652233950027366,76.7596560582653,100.62901974098943,54.9510994649151
0,163.33593272071033,66.09630070362695,25.517887068862215,17.888016152168817,,82.54011815992529,104.98572926262895,59.95688219143849
1,171.5210627811781,84.33198214368231,22.612114440858807,18.27494126441054,44.01243771021023,91.34560647723352,104.14654669395628,62.072547284716414
1,165.60641562088136,67.30599461351244,29.416318697902128,18.895738191045716,43.34600480760696,77.95982416959343,88.11052538246459,57.35476329617898
1,172.9216764262046,79.50169322807729,27.028880003512263,18.13187569658712,43.4890193533238,84.78013280993851,97.2378242988618,61.54993915057336
0,168.66638849403705,,26.86115009145429,13.417800060534562,33.9152275205957,65.65663849944133,87.58844211591666,52.34785686319234
1,,90.52346004336137,28.19295377248268,21.300427396146354,,82.8359195461119,105.9909275112343,58.867393017097505
0,167.23429424893428,65.75254005441144,23.961697810979906,,38.01719019447852,72.95853364157037,93.9623366179406,52.21733114280194
0,168.5538472786637,62.55999873143433,24.95654204779175,,38.89031789296311,70.61422323343534,91.60274109047242,52.26380284133834
0,155.02387996823185,58.62998614028467,,13.753154043447026,34.25257865075182,70.39718866791382,94.01567702186505,56.3641938126361
0,177.29607479360118,,23.158433724763654,,37.596314647397314,67.81097527323014,92.39864242481445,52.77317867742663
